Isik seviyesi:84
Mama bitti.
 Suyun Seviyesi:568
39.59 celsius
54 cm
Isik seviyesi:85
Mama bitti.
 Suyun Seviyesi:568
39.59 celsius
56 cm
Isik seviyesi:85
Mama bitti.
 Suyun Seviyesi:568
38.61 celsius
54 cm
Isik seviyesi:83
Mama bitti.
 Suyun Seviyesi:568
37.63 celsius
55 cm
Isik seviyesi:84
Mama bitti.
 Suyun Seviyesi:569
37.63 celsius
54 cm
Isik seviyesi:84
Mama bitti.
 Suyun Seviyesi:568
38.61 celsius
56 cm
Isik seviyesi:83
Mama bitti.
 Suyun Seviyesi:568
38.61 celsius
54 cm
Isik seviyesi:83
Mama bitti.
 Suyun Seviyesi:568
39.10 celsius
55 cm
Isik seviyesi:82
Mama bitti.
 Suyun Seviyesi:569
38.12 celsius
55 cm
Isik seviyesi:82
Mama bitti.
 Suyun Seviyesi:568
38.12 celsius
60cm'den daha uzak
Isik seviyesi:83
Mama bitti.
 Suyun Seviyesi:568
38.61 celsius
55 cm
Isik seviyesi:88
Mama bitti.
 Suyun Seviyesi:569
38.61 celsius
54 cm
Isik seviyesi:86
Mama bitti.
 Suyun Seviyesi:569
38.12 celsius
56 cm
Isik seviyesi:87
Mama bitti.
 Suyun Seviyesi:569
40.08 celsius
54 cm
Isik seviyesi:86
Mama bitti.
 Suyun Seviyesi:568
38.61 celsius
54 cm
Isik seviyesi:86
Mama bitti.
 Suyun Seviyesi:568
39.10 celsius
54 cm
Isik seviyesi:87
Mama bitti.
 Suyun Seviyesi:568
39.10 celsius
54 cm
Isik seviyesi:88
Isik seviyesi:91
Mama bitti.
 Suyun Seviyesi:568
38.61 celsius
54 cm
Isik seviyesi:89
Mama bitti.
 Suyun Seviyesi:568
39.10 celsius
55 cm
Isik seviyesi:89
Mama bitti.
 Suyun Seviyesi:568
39.59 celsius
55 cm
Isik seviyesi:87
Mama bitti.
 Suyun Seviyesi:568
38.61 celsius
54 cm
Isik seviyesi:88
