"Connect using 
""PLX-DAQ Simple Test""";;;;;;;;;
16:20:48;;21;;;;;;;
16:20:49;;21;;;;;;;
16:20:51;;21;;;;;;;
16:20:53;;21;;;;;;;
16:20:55;;21;;;;;;;
16:20:56;;21;;;;;;;
16:20:58;;22;;;;;;;
16:21:00;;22;;;;;;;
16:21:07;;21;;;;;;;
16:21:09;;23;;;;;;;
16:21:12;;21;;;;;;;
16:21:14;;22;;;;;;;
16:21:16;;22;;;;;;;
16:21:18;;22;;;;;;;
16:21:19;;22;;;;;;;
16:21:21;;22;;;;;;;
16:21:23;;22;;;;;;;
16:21:25;;22;;;;;;;
16:21:30;;23;;;;;;;
16:21:32;;22;;;;;;;
16:21:33;;21;;;;;;;
16:21:35;;21;;;;;;;
16:21:37;;21;;;;;;;
16:21:39;;21;;;;;;;
16:21:40;;21;;;;;;;
16:21:42;;21;;;;;;;
16:21:44;;21;;;;;;;
16:21:46;;19;;;;;;;
16:21:47;;5;;;;;;;
16:21:49;;5;;;;;;;
16:21:51;;5;;;;;;;
16:21:53;;5;;;;;;;
16:21:54;;5;;;;;;;
16:21:56;;5;;;;;;;
16:21:58;;5;;;;;;;
16:22:00;;5;;;;;;;
16:22:01;;5;;;;;;;
16:22:03;;5;;;;;;;
16:22:05;;5;;;;;;;
16:22:07;;5;;;;;;;
16:22:09;;5;;;;;;;
16:22:10;;5;;;;;;;
16:22:12;;5;;;;;;;
16:22:14;;5;;;;;;;
16:22:16;;5;;;;;;;
16:22:17;;5;;;;;;;
16:22:19;;5;;;;;;;
16:22:21;;5;;;;;;;
16:22:23;;5;;;;;;;
16:22:24;;5;;;;;;;
16:22:26;;5;;;;;;;
16:22:28;;5;;;;;;;
16:22:30;;5;;;;;;;
16:22:31;;5;;;;;;;
16:22:33;;6;;;;;;;
16:22:35;;5;;;;;;;
16:22:37;;5;;;;;;;
16:22:38;;5;;;;;;;
16:22:40;;5;;;;;;;
16:22:42;;5;;;;;;;
16:22:44;;5;;;;;;;
16:22:45;;5;;;;;;;
16:22:47;;5;;;;;;;
16:22:49;;5;;;;;;;
16:22:51;;5;;;;;;;
16:22:52;;5;;;;;;;
16:22:54;;5;;;;;;;
16:22:56;;5;;;;;;;
16:22:58;;5;;;;;;;
16:23:00;;5;;;;;;;
16:23:01;;5;;;;;;;
16:23:03;;5;;;;;;;
16:23:05;;5;;;;;;;
16:23:07;;6;;;;;;;
16:23:08;;6;;;;;;;
16:23:10;;6;;;;;;;
16:23:12;;5;;;;;;;
16:23:14;;5;;;;;;;
16:23:15;;5;;;;;;;
16:23:17;;5;;;;;;;
16:23:19;;5;;;;;;;
16:23:21;;6;;;;;;;
16:23:22;;6;;;;;;;
16:23:24;;6;;;;;;;
16:23:26;;6;;;;;;;
16:23:28;;6;;;;;;;
16:23:29;;5;;;;;;;
16:23:31;;6;;;;;;;
16:23:33;;6;;;;;;;
16:23:35;;5;;;;;;;
16:23:36;;5;;;;;;;
16:23:38;;5;;;;;;;
16:23:40;;5;;;;;;;
16:23:42;;5;;;;;;;
16:23:43;;6;;;;;;;
16:23:45;;5;;;;;;;
16:23:47;;5;;;;;;;
16:23:49;;5;;;;;;;
16:23:50;;5;;;;;;;
16:23:52;;5;;;;;;;
16:23:54;;6;;;;;;;
16:23:56;;5;;;;;;;
16:23:58;;5;;;;;;;
16:23:59;;5;;;;;;;
16:24:01;;5;;;;;;;
16:24:03;;5;;;;;;;
16:24:05;;5;;;;;;;
16:24:06;;5;;;;;;;
16:24:08;;6;;;;;;;
16:24:10;;6;;;;;;;
16:24:12;;6;;;;;;;
16:24:13;;6;;;;;;;
16:24:15;;5;;;;;;;
16:24:17;;6;;;;;;;
16:24:19;;5;;;;;;;
16:24:20;;5;;;;;;;
16:24:22;;5;;;;;;;
16:24:24;;5;;;;;;;
16:24:26;;5;;;;;;;
16:24:27;;5;;;;;;;
16:24:29;;5;;;;;;;
16:24:31;;6;;;;;;;
16:24:33;;5;;;;;;;
16:24:34;;5;;;;;;;
16:24:36;;5;;;;;;;
16:24:38;;5;;;;;;;
16:24:40;;5;;;;;;;
16:24:41;;5;;;;;;;
16:24:43;;6;;;;;;;
16:24:45;;5;;;;;;;
16:24:47;;5;;;;;;;
16:24:48;;5;;;;;;;
16:24:50;;5;;;;;;;
16:24:52;;5;;;;;;;
16:24:54;;5;;;;;;;
16:24:56;;5;;;;;;;
16:24:57;;5;;;;;;;
16:24:59;;5;;;;;;;
16:25:01;;5;;;;;;;
16:25:03;;5;;;;;;;
16:25:04;;5;;;;;;;
16:25:06;;5;;;;;;;
16:25:08;;5;;;;;;;
16:25:10;;5;;;;;;;
16:25:11;;5;;;;;;;
16:25:13;;5;;;;;;;
16:25:15;;5;;;;;;;
16:25:17;;5;;;;;;;
16:25:18;;5;;;;;;;
16:25:20;;5;;;;;;;
16:25:22;;6;;;;;;;
16:25:24;;5;;;;;;;
16:25:25;;6;;;;;;;
16:25:27;;5;;;;;;;
16:25:29;;5;;;;;;;
16:25:31;;5;;;;;;;
16:25:32;;5;;;;;;;
16:25:34;;5;;;;;;;
16:25:36;;5;;;;;;;
16:25:38;;5;;;;;;;
16:25:39;;5;;;;;;;
16:25:41;;5;;;;;;;
16:25:43;;6;;;;;;;
16:25:45;;6;;;;;;;
16:25:47;;5;;;;;;;
16:25:48;;5;;;;;;;
16:25:50;;5;;;;;;;
16:25:52;;5;;;;;;;
16:25:54;;5;;;;;;;
16:25:55;;5;;;;;;;
16:25:57;;5;;;;;;;
16:25:59;;5;;;;;;;
16:26:01;;5;;;;;;;
16:26:02;;5;;;;;;;
16:26:04;;5;;;;;;;
16:26:06;;5;;;;;;;
16:26:08;;6;;;;;;;
16:26:09;;6;;;;;;;
16:26:11;;6;;;;;;;
16:26:13;;5;;;;;;;
16:26:15;;5;;;;;;;
16:26:16;;5;;;;;;;
16:26:18;;6;;;;;;;
16:26:20;;6;;;;;;;
16:26:22;;6;;;;;;;
16:26:23;;5;;;;;;;
16:26:25;;6;;;;;;;
16:26:27;;6;;;;;;;
16:26:29;;5;;;;;;;
16:26:30;;5;;;;;;;
16:26:32;;5;;;;;;;
16:26:34;;5;;;;;;;
16:26:36;;5;;;;;;;
16:26:37;;5;;;;;;;
16:26:39;;5;;;;;;;
16:26:41;;5;;;;;;;
16:26:43;;5;;;;;;;
16:26:45;;5;;;;;;;
16:26:46;;5;;;;;;;
16:26:48;;5;;;;;;;
16:26:50;;5;;;;;;;
16:26:52;;5;;;;;;;
16:26:53;;5;;;;;;;
16:26:55;;5;;;;;;;
16:26:57;;5;;;;;;;
16:26:59;;5;;;;;;;
16:27:00;;5;;;;;;;
16:27:02;;5;;;;;;;
16:27:04;;5;;;;;;;
16:27:06;;5;;;;;;;
16:27:07;;6;;;;;;;
16:27:09;;5;;;;;;;
16:27:11;;5;;;;;;;
16:27:13;;5;;;;;;;
16:27:14;;5;;;;;;;
16:27:16;;5;;;;;;;
16:27:18;;5;;;;;;;
16:27:20;;5;;;;;;;
16:27:21;;5;;;;;;;
16:27:23;;5;;;;;;;
16:27:25;;5;;;;;;;
16:27:27;;5;;;;;;;
16:27:28;;5;;;;;;;
16:27:30;;5;;;;;;;
16:27:32;;5;;;;;;;
16:27:34;;5;;;;;;;
16:27:35;;5;;;;;;;
16:27:37;;5;;;;;;;
16:27:39;;5;;;;;;;
16:27:41;;5;;;;;;;
16:27:43;;5;;;;;;;
16:27:44;;5;;;;;;;
16:27:46;;5;;;;;;;
16:27:48;;5;;;;;;;
16:27:50;;5;;;;;;;
16:27:51;;5;;;;;;;
16:27:53;;6;;;;;;;
16:27:55;;6;;;;;;;
16:27:57;;5;;;;;;;
16:27:58;;6;;;;;;;
16:28:00;;5;;;;;;;
16:28:02;;5;;;;;;;
16:28:04;;5;;;;;;;
16:28:05;;5;;;;;;;
16:28:07;;5;;;;;;;
16:28:09;;5;;;;;;;
16:28:11;;5;;;;;;;
16:28:12;;6;;;;;;;
16:28:14;;5;;;;;;;
16:28:16;;5;;;;;;;
16:28:18;;5;;;;;;;
